customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month
BG95711,California,16477,No,Extended,College,2011-02-22,Employed,F,57264,Rural,Divorced,84,0,30,1,2,Personal Auto,Personal L3,Offer1,Branch,129,Four-Door Car,Medsize,A,2
IX32007,California,2864,No,Basic,Bachelor,2011-01-06,Unemployed,M,0,Suburban,Single,109,2,8,4,1,Personal Auto,Personal L2,Offer3,Call Center,1145,SUV,Small,A,1
CI30899,California,4737,No,Basic,College,2011-01-13,Unemployed,F,0,Suburban,Single,68,2,26,0,3,Personal Auto,Personal L3,Offer1,Branch,326,Two-Door Car,Small,A,1
ES90681,California,2417,No,Basic,College,2011-02-26,Employed,F,51808,Suburban,Married,61,3,12,1,1,Personal Auto,Personal L2,Offer1,Agent,351,Four-Door Car,Small,A,2
JO17193,Washington,2300,Yes,Basic,Bachelor,2011-01-15,Retired,M,25905,Suburban,Divorced,63,21,12,0,1,Personal Auto,Personal L3,Offer1,Agent,302,Four-Door Car,Large,A,1
CT18212,California,6874,No,Extended,Bachelor,2011-02-17,Unemployed,F,0,Suburban,Single,96,35,27,0,6,Personal Auto,Personal L2,Offer4,Agent,691,Four-Door Car,Medsize,A,2
XO78284,Arizona,3887,No,Extended,Master,2011-01-20,Employed,M,96335,Rural,Single,97,7,43,0,1,Personal Auto,Personal L3,Offer1,Branch,161,Four-Door Car,Small,A,1
LX24476,Oregon,3619,No,Extended,Bachelor,2011-01-24,Unemployed,F,0,Urban,Married,98,27,47,0,1,Personal Auto,Personal L3,Offer2,Web,310,Four-Door Car,Medsize,A,1
WY58284,California,8622,Yes,Basic,Bachelor,2011-02-18,Employed,M,97361,Suburban,Single,73,6,85,0,2,Personal Auto,Personal L2,Offer1,Agent,350,Four-Door Car,Medsize,A,2
EO42272,California,10148,No,Basic,Bachelor,2011-01-11,Employed,F,44856,Suburban,Divorced,66,24,71,1,2,Corporate Auto,Corporate L3,Offer4,Branch,316,Four-Door Car,Small,A,1
KA62636,Oregon,4928,No,Basic,High School or Below,2011-01-26,Employed,M,97917,Urban,Single,67,14,32,5,3,Personal Auto,Personal L2,Offer4,Agent,279,Two-Door Car,Medsize,A,1
SY36127,California,2874,No,Basic,Master,2011-02-28,Employed,F,33462,Rural,Married,72,12,9,0,1,Personal Auto,Personal L3,Offer2,Branch,112,Four-Door Car,Medsize,A,2
WA94988,California,19327,No,Extended,Bachelor,2011-02-03,Employed,F,57245,Suburban,Single,124,25,15,0,2,Corporate Auto,Corporate L3,Offer2,Call Center,681,Luxury,Small,A,2
KD69941,California,4941,No,Extended,Bachelor,2011-01-11,Unemployed,M,0,Suburban,Single,137,17,5,0,1,Personal Auto,Personal L3,Offer3,Branch,986,SUV,Medsize,A,1
NI27358,Arizona,7255,No,Basic,College,2011-02-21,Employed,F,67352,Urban,Married,181,7,80,1,1,Personal Auto,Personal L3,Offer3,Branch,560,Luxury,Small,A,2
WG15595,California,2759,No,Basic,College,2011-01-09,Employed,M,64388,Suburban,Married,69,15,51,0,1,Personal Auto,Personal L3,Offer1,Agent,331,Two-Door Car,Small,A,1
UM83813,Oregon,13379,No,Basic,Bachelor,2011-02-06,Unemployed,F,0,Suburban,Single,194,13,83,0,3,Personal Auto,Personal L1,Offer3,Web,1396,Luxury,Small,A,2
CR48975,Washington,24084,No,Basic,High School or Below,2011-02-02,Employed,M,65196,Suburban,Married,67,0,54,0,2,Personal Auto,Personal L2,Offer4,Branch,396,Four-Door Car,Medsize,A,2
UY61913,Oregon,8847,No,Basic,College,2011-02-11,Disabled,M,17950,Urban,Married,118,34,24,0,4,Personal Auto,Personal L2,Offer1,Agent,425,SUV,Medsize,A,2
KO44736,Oregon,16979,Yes,Basic,Bachelor,2011-01-17,Employed,M,35095,Suburban,Divorced,73,25,56,0,2,Personal Auto,Personal L3,Offer2,Call Center,525,Two-Door Car,Small,A,1
AY35539,Oregon,2530,Yes,Basic,Bachelor,2011-01-21,Employed,F,89451,Rural,Single,63,15,2,0,1,Personal Auto,Personal L2,Offer2,Web,61,Four-Door Car,Medsize,A,1
WX33904,Arizona,6355,No,Basic,Bachelor,2011-01-17,Unemployed,M,0,Suburban,Divorced,61,25,79,0,2,Special Auto,Special L2,Offer1,Branch,292,Two-Door Car,Medsize,A,1
YP40334,Oregon,5308,No,Premium,Doctor,2011-01-17,Unemployed,F,0,Rural,Single,145,29,70,0,1,Personal Auto,Personal L2,Offer2,Web,358,SUV,Medsize,A,1
MW57614,Arizona,2359,Yes,Basic,Bachelor,2011-01-11,Disabled,F,19864,Suburban,Divorced,63,22,96,0,1,Personal Auto,Personal L2,Offer1,Web,352,Four-Door Car,Medsize,A,1
SS63511,California,8564,Yes,Basic,High School or Below,2011-02-17,Employed,M,95697,Rural,Married,107,29,29,0,9,Corporate Auto,Corporate L3,Offer2,Agent,178,Luxury,Medsize,A,2
BK73302,California,3167,No,Extended,Bachelor,2011-02-17,Employed,M,61638,Suburban,Divorced,82,15,55,0,1,Corporate Auto,Corporate L3,Offer2,Web,544,Four-Door Car,Medsize,A,2
JL41129,California,7986,No,Basic,Bachelor,2011-01-19,Employed,M,74217,Urban,Married,100,35,3,0,6,Personal Auto,Personal L1,Offer2,Branch,418,SUV,Large,A,1
KT26739,Nevada,3554,Yes,Extended,Master,2011-01-10,Employed,F,58557,Rural,Married,88,4,83,0,1,Personal Auto,Personal L2,Offer1,Branch,55,Four-Door Car,Large,A,1
NZ98813,California,13840,No,Basic,High School or Below,2011-02-11,Medical Leave,F,29658,Suburban,Divorced,119,20,66,0,2,Personal Auto,Personal L3,Offer1,Call Center,571,SUV,Medsize,A,2
LB25094,California,2530,Yes,Basic,Bachelor,2011-01-21,Employed,F,89451,Rural,Single,63,11,2,0,1,Special Auto,Special L2,Offer2,Web,61,Four-Door Car,Medsize,A,1
LZ98947,Nevada,24238,No,Basic,Bachelor,2011-01-31,Unemployed,F,0,Suburban,Single,109,19,49,2,2,Personal Auto,Personal L1,Offer1,Branch,784,SUV,Medsize,A,1
FL85008,Oregon,13466,Yes,Basic,High School or Below,2011-02-23,Disabled,F,11432,Suburban,Married,119,11,9,0,2,Personal Auto,Personal L2,Offer2,Agent,571,Four-Door Car,Medsize,A,2
HF75276,Nevada,3052,No,Extended,High School or Below,2011-01-12,Unemployed,F,0,Suburban,Divorced,93,15,31,3,1,Personal Auto,Personal L3,Offer1,Branch,446,Four-Door Car,Large,A,1
BX45636,California,9161,No,Basic,High School or Below,2011-01-15,Employed,F,91763,Urban,Married,113,22,64,0,3,Special Auto,Special L3,Offer1,Call Center,441,SUV,Small,A,1
QB26845,Oregon,11578,No,Basic,Bachelor,2011-01-13,Unemployed,M,0,Suburban,Single,115,21,46,0,2,Personal Auto,Personal L3,Offer1,Agent,1163,SUV,Medsize,A,1
CR37971,Oregon,3900,No,Extended,Bachelor,2011-02-09,Employed,M,95018,Urban,Married,97,21,81,0,1,Personal Auto,Personal L2,Offer2,Web,315,Four-Door Car,Large,A,2
NE85389,Oregon,23903,No,Basic,High School or Below,2011-01-10,Unemployed,F,0,Suburban,Married,74,12,72,1,2,Personal Auto,Personal L3,Offer2,Branch,355,Four-Door Car,Medsize,A,1
WC28543,Arizona,2399,No,Basic,Bachelor,2011-01-23,Disabled,M,20992,Suburban,Married,64,21,73,0,1,Personal Auto,Personal L3,Offer2,Call Center,307,Two-Door Car,Medsize,A,1
AU23837,Oregon,5010,No,Basic,Bachelor,2011-01-19,Employed,F,64014,Urban,Single,63,26,27,0,7,Corporate Auto,Corporate L3,Offer1,Agent,295,Four-Door Car,Medsize,A,1
OB52091,Washington,8112,No,Basic,Bachelor,2011-02-09,Employed,M,87403,Suburban,Divorced,68,1,63,0,2,Personal Auto,Personal L1,Offer1,Agent,456,Four-Door Car,Medsize,A,2
TU27563,Oregon,3647,No,Extended,Bachelor,2011-01-10,Employed,F,20694,Suburban,Married,94,29,89,1,1,Personal Auto,Personal L2,Offer2,Branch,451,Two-Door Car,Medsize,A,1
GD89605,Oregon,5384,No,Basic,Master,2011-02-12,Employed,F,59364,Suburban,Married,67,25,56,0,5,Corporate Auto,Corporate L1,Offer4,Agent,321,Four-Door Car,Small,A,2
DE71115,Washington,2772,No,Basic,High School or Below,2011-01-15,Employed,M,68463,Suburban,Married,70,19,67,1,1,Personal Auto,Personal L1,Offer2,Call Center,336,Four-Door Car,Medsize,A,1
NP91656,California,4911,No,Basic,Bachelor,2011-01-09,Unemployed,F,0,Suburban,Single,69,26,33,0,9,Personal Auto,Personal L2,Offer4,Agent,496,Four-Door Car,Medsize,A,1
FQ24781,Oregon,2574,Yes,Basic,Master,2011-01-14,Employed,F,34990,Rural,Single,65,23,73,0,1,Personal Auto,Personal L1,Offer2,Web,42,Four-Door Car,Medsize,A,1
ZQ96022,Oregon,9594,No,Extended,College,2011-02-02,Employed,F,31421,Suburban,Married,81,5,95,0,2,Personal Auto,Personal L3,Offer3,Web,388,Two-Door Car,Medsize,A,2
KN34250,Oregon,10208,Yes,Extended,College,2011-02-14,Employed,F,35482,Suburban,Married,129,21,59,0,3,Corporate Auto,Corporate L2,Offer1,Branch,619,SUV,Medsize,A,2
SI60881,Oregon,9217,No,Basic,Bachelor,2011-01-12,Employed,F,26351,Suburban,Divorced,119,14,87,0,7,Personal Auto,Personal L2,Offer3,Branch,571,SUV,Medsize,A,1
XD19934,Oregon,10506,No,Extended,High School or Below,2011-02-25,Employed,M,61650,Rural,Single,88,8,2,0,2,Personal Auto,Personal L3,Offer2,Web,117,Four-Door Car,Medsize,A,2
OU79745,California,7619,No,Premium,College,2011-02-02,Unemployed,M,0,Suburban,Divorced,105,5,42,0,5,Personal Auto,Personal L3,Offer1,Agent,504,Four-Door Car,Medsize,A,2
MN62189,California,8991,No,Basic,High School or Below,2011-01-19,Medical Leave,F,17331,Suburban,Divorced,117,13,39,0,6,Personal Auto,Personal L2,Offer1,Agent,1138,SUV,Medsize,A,1
QW21716,Nevada,4923,No,Basic,Bachelor,2011-01-30,Employed,M,31093,Suburban,Married,63,3,78,0,3,Personal Auto,Personal L2,Offer2,Branch,302,Four-Door Car,Medsize,A,1
LC20778,Nevada,18745,No,Extended,Master,2011-02-27,Medical Leave,F,27229,Suburban,Single,99,20,9,0,2,Personal Auto,Personal L2,Offer3,Agent,475,Four-Door Car,Small,A,2
PR31642,Oregon,4525,No,Basic,Bachelor,2011-01-29,Employed,F,32802,Suburban,Married,114,31,8,0,1,Personal Auto,Personal L1,Offer2,Call Center,547,SUV,Medsize,A,1
UE75424,California,10732,No,Extended,Doctor,2011-02-22,Employed,M,75728,Rural,Married,133,24,68,0,4,Corporate Auto,Corporate L3,Offer1,Call Center,44,SUV,Medsize,A,2
FK37308,Oregon,2703,No,Basic,Doctor,2011-02-24,Unemployed,F,0,Rural,Married,72,19,48,0,1,Corporate Auto,Corporate L3,Offer3,Call Center,41,Two-Door Car,Medsize,A,2
TU25694,Oregon,2458,No,Basic,High School or Below,2011-01-06,Unemployed,M,0,Suburban,Single,70,20,44,0,1,Personal Auto,Personal L3,Offer1,Call Center,504,Four-Door Car,Medsize,A,1
GC40999,Oregon,11790,Yes,Basic,College,2011-01-03,Retired,M,25251,Suburban,Divorced,66,13,43,0,2,Personal Auto,Personal L3,Offer2,Web,316,Four-Door Car,Medsize,A,1
WR85740,California,8149,No,Basic,Doctor,2011-01-26,Unemployed,F,0,Suburban,Married,71,28,76,0,2,Corporate Auto,Corporate L3,Offer2,Call Center,340,Two-Door Car,Medsize,A,1
MP85571,Arizona,5558,No,Premium,Bachelor,2011-02-20,Unemployed,F,0,Suburban,Single,188,5,61,4,1,Personal Auto,Personal L2,Offer3,Agent,2156,SUV,Medsize,A,2
LS46182,Nevada,2678,No,Extended,Bachelor,2011-02-11,Unemployed,M,0,Suburban,Single,83,3,85,1,1,Personal Auto,Personal L2,Offer1,Branch,398,Four-Door Car,Medsize,A,2
GQ46925,Arizona,5821,No,Premium,High School or Below,2011-02-15,Employed,M,77563,Urban,Married,143,35,58,0,1,Personal Auto,Personal L1,Offer4,Call Center,545,Four-Door Car,Medsize,A,2
GR31499,Oregon,2541,No,Basic,Master,2011-01-19,Employed,F,23692,Suburban,Married,65,26,27,2,1,Personal Auto,Personal L3,Offer3,Agent,312,Two-Door Car,Medsize,A,1
FS76657,Oregon,5471,No,Basic,College,2011-02-06,Employed,F,53526,Urban,Married,68,27,69,0,4,Personal Auto,Personal L3,Offer1,Agent,278,Four-Door Car,Medsize,A,2
NW21079,Washington,4879,No,Basic,Master,2011-01-14,Employed,F,67163,Rural,Married,61,17,41,2,5,Personal Auto,Personal L1,Offer1,Call Center,33,Two-Door Car,Small,A,1
DG80424,Washington,2691,No,Basic,College,2011-01-24,Employed,F,77411,Urban,Married,67,15,63,0,1,Personal Auto,Personal L2,Offer2,Agent,257,Four-Door Car,Medsize,A,1
KE36052,Arizona,5325,Yes,Basic,High School or Below,2011-02-21,Unemployed,M,0,Suburban,Married,73,17,44,0,7,Corporate Auto,Corporate L1,Offer2,Call Center,496,Two-Door Car,Medsize,A,2
BU72276,California,5318,Yes,Basic,Bachelor,2011-01-12,Employed,F,25134,Suburban,Married,67,3,0,0,6,Personal Auto,Personal L3,Offer2,Call Center,321,Four-Door Car,Small,A,1
CK36026,Arizona,3440,No,Extended,Bachelor,2011-02-05,Medical Leave,F,23870,Suburban,Married,91,4,92,0,1,Personal Auto,Personal L3,Offer2,Web,500,Two-Door Car,Medsize,A,2
GY23881,Oregon,4782,No,Basic,High School or Below,2011-02-28,Employed,M,81687,Suburban,Single,61,7,77,0,6,Personal Auto,Personal L2,Offer2,Call Center,292,Four-Door Car,Medsize,A,2
GZ79662,Arizona,5484,No,Basic,High School or Below,2011-02-21,Employed,M,47611,Suburban,Married,69,17,65,0,4,Corporate Auto,Corporate L3,Offer2,Call Center,593,Four-Door Car,Medsize,A,2
FJ28407,California,5619,Yes,Premium,High School or Below,2011-01-26,Unemployed,M,0,Suburban,Married,153,25,5,0,1,Personal Auto,Personal L1,Offer2,Web,1027,SUV,Medsize,A,1
NJ43658,California,22721,No,Basic,Master,2011-01-11,Disabled,M,21724,Suburban,Married,198,4,51,0,2,Corporate Auto,Corporate L1,Offer1,Agent,1505,Luxury,Large,A,1
LK35963,California,17019,No,Basic,Bachelor,2011-02-01,Employed,F,89601,Rural,Married,70,15,8,0,2,Personal Auto,Personal L3,Offer2,Branch,117,Two-Door Car,Medsize,A,2
QM38267,Arizona,2666,No,Basic,High School or Below,2011-01-21,Employed,F,86321,Suburban,Married,66,7,25,0,1,Personal Auto,Personal L1,Offer3,Call Center,316,Four-Door Car,Medsize,A,1
VZ59523,Arizona,5704,No,Basic,Doctor,2011-01-21,Employed,M,50695,Rural,Married,71,31,30,0,5,Personal Auto,Personal L3,Offer1,Call Center,110,Two-Door Car,Large,A,1
IX10511,California,3875,No,Basic,College,2011-02-08,Unemployed,M,0,Suburban,Single,117,11,29,0,1,Personal Auto,Personal L3,Offer1,Branch,842,Luxury,Medsize,A,2
UF36353,Oregon,10914,No,Extended,College,2011-01-02,Employed,M,71656,Rural,Married,137,3,88,0,8,Special Auto,Special L3,Offer3,Branch,61,SUV,Medsize,A,1
DM59806,California,3571,No,Extended,Doctor,2011-02-13,Employed,F,73853,Suburban,Single,89,7,35,0,1,Personal Auto,Personal L3,Offer2,Agent,427,Four-Door Car,Small,A,2
TN17395,California,22103,No,Basic,College,2011-01-30,Unemployed,M,0,Suburban,Married,102,35,48,0,2,Personal Auto,Personal L3,Offer1,Branch,489,SUV,Medsize,A,1
VQ20924,Arizona,7138,No,Extended,High School or Below,2011-02-10,Disabled,F,19794,Suburban,Married,93,24,80,0,8,Corporate Auto,Corporate L3,Offer2,Agent,603,Two-Door Car,Large,A,2
EP64069,California,5138,No,Basic,Bachelor,2011-01-08,Employed,F,72264,Urban,Married,64,2,66,0,9,Corporate Auto,Corporate L3,Offer3,Web,272,Four-Door Car,Medsize,A,1
OW33876,Washington,2476,No,Basic,College,2011-02-14,Employed,F,47918,Urban,Married,62,15,51,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,246,Two-Door Car,Medsize,A,2
QK18099,Washington,5375,No,Basic,College,2011-01-12,Employed,F,69050,Suburban,Married,67,17,38,0,3,Personal Auto,Personal L2,Offer3,Web,334,Four-Door Car,Large,A,1
IM41800,Nevada,8268,No,Basic,College,2011-02-02,Employed,M,95419,Suburban,Married,70,6,61,3,2,Personal Auto,Personal L3,Offer3,Web,336,Four-Door Car,Medsize,A,2
OA92714,California,5055,No,Basic,Bachelor,2011-01-10,Employed,F,88989,Urban,Married,63,19,28,1,3,Personal Auto,Personal L3,Offer3,Call Center,232,Four-Door Car,Medsize,A,1
LZ12396,Arizona,4795,No,Basic,Bachelor,2011-02-05,Employed,F,33068,Urban,Married,61,6,77,1,6,Personal Auto,Personal L1,Offer1,Branch,213,Four-Door Car,Medsize,A,2
BC77846,Nevada,6325,No,Extended,High School or Below,2011-02-28,Unemployed,M,0,Suburban,Married,89,4,86,0,7,Personal Auto,Personal L2,Offer3,Agent,614,Two-Door Car,Medsize,A,2
CC15295,Oregon,9743,No,Extended,Bachelor,2011-01-21,Employed,F,24028,Suburban,Married,82,14,27,0,2,Personal Auto,Personal L2,Offer2,Agent,393,Four-Door Car,Small,A,1
OD18225,California,6631,No,Extended,College,2011-01-18,Employed,M,32918,Suburban,Married,84,33,69,0,3,Personal Auto,Personal L2,Offer3,Agent,403,Four-Door Car,Medsize,A,1
QC55306,Washington,31162,No,Extended,High School or Below,2011-01-15,Employed,M,83170,Urban,Married,97,0,53,0,2,Personal Auto,Personal L2,Offer2,Agent,344,Four-Door Car,Medsize,A,1
BT57285,California,4563,No,Extended,High School or Below,2011-02-13,Unemployed,M,0,Suburban,Married,124,32,39,0,1,Personal Auto,Personal L1,Offer1,Agent,595,SUV,Medsize,A,2
CT88432,Arizona,4883,No,Basic,Bachelor,2011-02-17,Employed,F,58682,Urban,Married,61,24,34,0,4,Corporate Auto,Corporate L3,Offer1,Branch,206,Four-Door Car,Medsize,A,2
LE41874,Nevada,5140,No,Extended,High School or Below,2011-01-08,Unemployed,F,0,Suburban,Married,138,22,18,0,1,Corporate Auto,Corporate L3,Offer1,Agent,900,SUV,Small,A,1
DV62119,Arizona,3548,No,Extended,Doctor,2011-02-28,Employed,F,76114,Suburban,Married,88,6,97,0,1,Personal Auto,Personal L3,Offer2,Agent,422,Four-Door Car,Medsize,A,2
DQ79499,Oregon,10541,No,Extended,Doctor,2011-02-11,Employed,F,59965,Suburban,Married,131,7,54,0,7,Personal Auto,Personal L2,Offer1,Branch,905,SUV,Medsize,A,2
NJ72300,Oregon,8009,No,Basic,Bachelor,2011-01-25,Unemployed,F,0,Suburban,Married,107,15,8,0,3,Personal Auto,Personal L3,Offer2,Web,740,SUV,Small,A,1
GE20220,Oregon,7606,No,Extended,Bachelor,2011-02-25,Employed,F,47778,Rural,Married,96,2,81,0,7,Personal Auto,Personal L3,Offer2,Call Center,173,Four-Door Car,Medsize,A,2
UQ85283,California,30763,No,Basic,Bachelor,2011-01-06,Employed,M,41279,Rural,Single,115,1,30,0,2,Personal Auto,Personal L3,Offer3,Agent,251,Luxury,Medsize,A,1
VS20668,Nevada,2726,No,Basic,Bachelor,2011-01-16,Unemployed,F,0,Suburban,Single,73,8,63,0,1,Personal Auto,Personal L3,Offer4,Branch,376,Four-Door Car,Medsize,A,1
EO17010,California,4751,No,Basic,Master,2011-02-12,Employed,M,30887,Urban,Married,119,15,18,0,1,Personal Auto,Personal L3,Offer3,Agent,444,SUV,Large,A,2
NF82527,Arizona,2631,No,Basic,Bachelor,2011-01-08,Unemployed,M,0,Suburban,Married,71,11,68,0,1,Personal Auto,Personal L3,Offer2,Call Center,340,Two-Door Car,Large,A,1
HE29300,California,38545,No,Basic,College,2011-01-14,Employed,M,41104,Urban,Married,109,4,10,0,2,Corporate Auto,Corporate L2,Offer4,Call Center,440,SUV,Large,A,1
ZG17326,Oregon,4988,No,Basic,Bachelor,2011-02-11,Employed,M,38928,Suburban,Married,64,14,18,0,8,Personal Auto,Personal L2,Offer2,Agent,326,Four-Door Car,Large,A,2
QF55724,California,2609,No,Basic,Bachelor,2011-02-20,Employed,M,60798,Suburban,Married,66,21,57,0,1,Personal Auto,Personal L3,Offer2,Call Center,316,Four-Door Car,Medsize,A,2
KP77095,Arizona,15470,No,Premium,Bachelor,2011-02-08,Employed,F,68086,Rural,Married,194,34,6,0,3,Corporate Auto,Corporate L2,Offer2,Web,218,SUV,Large,A,2
HE20556,Arizona,5324,No,Basic,Bachelor,2011-01-18,Employed,F,31561,Suburban,Divorced,68,8,62,0,7,Personal Auto,Personal L3,Offer3,Web,326,Four-Door Car,Medsize,A,1
CT83377,Washington,3763,No,Extended,High School or Below,2011-02-21,Employed,M,93595,Rural,Married,97,15,30,4,1,Special Auto,Special L2,Offer4,Agent,49,Four-Door Car,Medsize,A,2
CP98451,Oregon,9057,No,Basic,College,2011-01-02,Employed,F,91025,Urban,Married,112,15,37,0,9,Personal Auto,Personal L3,Offer1,Agent,327,SUV,Medsize,A,1
HN60464,California,6105,No,Extended,Bachelor,2011-02-16,Unemployed,M,0,Urban,Married,84,0,57,0,5,Personal Auto,Personal L2,Offer3,Branch,395,Four-Door Car,Medsize,A,2
GF35623,California,5886,No,Extended,High School or Below,2011-01-23,Unemployed,F,0,Suburban,Single,81,15,37,0,4,Personal Auto,Personal L2,Offer1,Branch,583,Four-Door Car,Small,A,1
PD66941,Arizona,4458,Yes,Basic,Bachelor,2011-01-02,Retired,M,17622,Suburban,Divorced,65,1,36,1,3,Personal Auto,Personal L3,Offer1,Agent,312,Four-Door Car,Medsize,A,1
CZ84042,Oregon,2660,No,Basic,High School or Below,2011-01-25,Employed,F,53333,Rural,Married,66,4,34,0,1,Personal Auto,Personal L1,Offer2,Branch,22,Two-Door Car,Medsize,A,1
QL54532,California,3870,No,Basic,Master,2011-01-17,Unemployed,M,0,Suburban,Single,106,8,65,0,1,Personal Auto,Personal L2,Offer1,Web,508,SUV,Medsize,A,1
HX21307,Oregon,2616,Yes,Basic,College,2011-02-25,Employed,M,72302,Suburban,Divorced,66,6,27,0,1,Personal Auto,Personal L3,Offer1,Agent,316,Two-Door Car,Medsize,A,2
SX20211,Oregon,8110,No,Premium,College,2011-01-22,Employed,M,52548,Suburban,Married,101,10,1,0,5,Personal Auto,Personal L3,Offer2,Call Center,587,Four-Door Car,Medsize,A,1
ZU88796,Arizona,2448,No,Basic,Bachelor,2011-01-21,Employed,F,87802,Urban,Married,63,2,43,5,1,Personal Auto,Personal L2,Offer2,Agent,173,Four-Door Car,Small,A,1
JX50349,Oregon,2472,Yes,Basic,College,2011-01-20,Employed,F,63860,Urban,Married,62,26,81,0,1,Personal Auto,Personal L1,Offer2,Agent,208,Four-Door Car,Medsize,A,1
DH34004,California,6191,No,Basic,College,2011-02-06,Unemployed,M,0,Suburban,Married,199,4,29,3,1,Personal Auto,Personal L3,Offer2,Web,955,Four-Door Car,Medsize,A,2
IU54219,Oregon,16301,Yes,Extended,Master,2011-02-17,Retired,F,19614,Suburban,Married,85,21,32,0,2,Special Auto,Special L3,Offer2,Agent,574,Two-Door Car,Medsize,A,2
HM94328,Arizona,6047,Yes,Extended,College,2011-02-19,Employed,M,20396,Suburban,Married,76,15,60,1,4,Corporate Auto,Corporate L2,Offer1,Branch,364,Four-Door Car,Medsize,A,2
ZM86949,Oregon,20635,No,Basic,High School or Below,2011-02-17,Employed,F,84106,Suburban,Single,64,0,86,0,2,Personal Auto,Personal L3,Offer1,Branch,334,Two-Door Car,Medsize,A,2
LC58452,California,4655,No,Basic,High School or Below,2011-02-10,Employed,M,88240,Suburban,Divorced,117,3,94,0,1,Personal Auto,Personal L1,Offer1,Branch,561,SUV,Small,A,2
PS68884,California,4686,Yes,Basic,College,2011-02-12,Employed,M,58089,Suburban,Married,118,31,83,0,1,Corporate Auto,Corporate L3,Offer1,Agent,566,SUV,Medsize,A,2
MD73554,California,5251,No,Basic,College,2011-02-22,Employed,M,59537,Suburban,Married,66,23,5,0,7,Personal Auto,Personal L1,Offer1,Branch,316,Two-Door Car,Medsize,A,2
FO35655,Oregon,8672,No,Extended,Bachelor,2011-01-14,Unemployed,M,0,Suburban,Single,245,34,83,0,1,Corporate Auto,Corporate L3,Offer1,Branch,2345,Luxury,Medsize,A,1
GX22886,Arizona,3199,No,Extended,College,2011-01-25,Employed,M,78784,Urban,Married,80,33,72,0,1,Personal Auto,Personal L3,Offer2,Agent,239,Four-Door Car,Medsize,A,1
PP48389,California,6871,No,Premium,Bachelor,2011-02-25,Unemployed,F,0,Suburban,Married,196,5,59,2,1,Personal Auto,Personal L2,Offer1,Agent,940,Luxury,Medsize,A,2
XH71839,Oregon,6739,No,Extended,High School or Below,2011-01-18,Unemployed,M,0,Suburban,Single,96,15,43,0,7,Personal Auto,Personal L3,Offer1,Agent,1012,Four-Door Car,Small,A,1
FY62633,Oregon,9112,No,Extended,Bachelor,2011-01-14,Unemployed,M,0,Suburban,Single,90,21,21,0,2,Personal Auto,Personal L1,Offer1,Agent,432,Four-Door Car,Medsize,A,1
RS29507,California,10395,No,Extended,Bachelor,2011-02-10,Unemployed,F,0,Urban,Married,95,22,59,0,2,Personal Auto,Personal L3,Offer2,Agent,337,Four-Door Car,Medsize,A,2
PD27940,Arizona,4885,No,Extended,High School or Below,2011-02-12,Disabled,M,26372,Suburban,Married,126,11,7,0,1,Personal Auto,Personal L3,Offer4,Agent,604,SUV,Medsize,A,2
JP58047,Oregon,8332,No,Extended,College,2011-01-27,Unemployed,M,0,Suburban,Married,79,7,72,0,2,Personal Auto,Personal L3,Offer2,Web,379,Four-Door Car,Medsize,A,1
DS31990,Oregon,5093,No,Basic,High School or Below,2011-01-12,Unemployed,M,0,Rural,Married,71,12,55,0,3,Personal Auto,Personal L3,Offer2,Call Center,150,Two-Door Car,Large,A,1
TB71474,Nevada,3141,No,Extended,College,2011-01-18,Employed,F,24019,Rural,Married,79,14,27,0,1,Personal Auto,Personal L3,Offer3,Branch,47,Four-Door Car,Medsize,A,1
UK52289,Arizona,2582,Yes,Basic,Bachelor,2011-02-14,Employed,F,76731,Urban,Married,64,2,68,0,1,Special Auto,Special L3,Offer2,Agent,201,Four-Door Car,Medsize,A,2
VV47792,California,25807,Yes,Extended,College,2011-02-13,Employed,F,71210,Suburban,Married,214,8,89,1,2,Personal Auto,Personal L3,Offer1,Branch,1027,Luxury,Small,A,2
NY55083,Oregon,14083,No,Basic,College,2011-01-16,Employed,F,74916,Rural,Single,62,8,34,4,2,Personal Auto,Personal L1,Offer1,Branch,123,Two-Door Car,Medsize,A,1
ME11422,California,5085,No,Basic,College,2011-02-12,Unemployed,M,0,Suburban,Married,72,15,18,1,3,Personal Auto,Personal L3,Offer3,Agent,571,Four-Door Car,Small,A,2
CC31456,Arizona,6457,No,Extended,Bachelor,2011-01-05,Employed,M,37548,Rural,Married,81,12,9,0,3,Special Auto,Special L2,Offer2,Web,160,Four-Door Car,Medsize,A,1
SF11920,Arizona,5607,No,Basic,College,2011-02-25,Employed,F,39507,Urban,Married,70,32,17,0,5,Corporate Auto,Corporate L1,Offer1,Web,283,Two-Door Car,Medsize,A,2
ZJ73220,Arizona,13092,No,Basic,College,2011-01-24,Unemployed,F,0,Suburban,Single,188,35,82,0,7,Special Auto,Special L2,Offer1,Call Center,1353,Luxury,Medsize,A,1
